id;valor;data;posto
6210921;0.0;2025-12-31;2
6209514;0.0;2025-12-30;2
6208710;0.0;2025-12-29;2
6208709;0.0;2025-12-28;2
6208284;0.0;2025-12-27;2
6208283;0.0;2025-12-26;2
6208282;0.0;2025-12-25;2
6208281;0.0;2025-12-24;2
6208280;0.0;2025-12-23;2
6205432;0.0;2025-12-22;2
6205431;0.0;2025-12-21;2
6205430;0.0;2025-12-20;2
6204097;0.0;2025-12-19;2
6203477;0.0;2025-12-18;2
6202503;0.0;2025-12-17;2
6202502;0.0;2025-12-16;2
6200917;0.0;2025-12-15;2
6200916;0.0;2025-12-14;2
6200915;0.0;2025-12-13;2
6200914;0.0;2025-12-12;2
6200913;0.0;2025-12-11;2
6200912;0.0;2025-12-10;2
6197834;0.0;2025-12-09;2
6197028;0.0;2025-12-08;2
6197027;0.0;2025-12-07;2
6197026;0.0;2025-12-06;2
6197025;0.0;2025-12-05;2
6197024;0.0;2025-12-04;2
6194704;0.0;2025-12-03;2
6194283;0.0;2025-12-02;2
6194282;0.0;2025-12-01;2
6193160;0.0;2025-11-30;2
6193159;0.0;2025-11-29;2
6192484;0.0;2025-11-28;2
6192483;0.0;2025-11-27;2
6191235;0.0;2025-11-26;2
6190286;4.0;2025-11-25;2
6190285;0.0;2025-11-24;2
6190284;0.0;2025-11-23;2
6190283;0.0;2025-11-22;2
6188033;0.0;2025-11-21;2
6188032;0.0;2025-11-20;2
6187626;0.0;2025-11-19;2
6185488;0.0;2025-11-18;2
6185487;0.0;2025-11-17;2
6185486;0.0;2025-11-16;2
6185485;0.0;2025-11-15;2
6185484;0.0;2025-11-14;2
6185483;0.0;2025-11-13;2
6185482;0.0;2025-11-12;2
6185481;0.0;2025-11-11;2
6182908;0.0;2025-11-10;2
6182907;0.0;2025-11-09;2
6182906;0.0;2025-11-08;2
6182285;0.0;2025-11-07;2
6181713;0.0;2025-11-06;2
6180650;0.0;2025-11-05;2
6180649;0.0;2025-11-04;2
6179368;0.0;2025-11-03;2
6179367;0.0;2025-11-02;2
6179366;0.0;2025-11-01;2
6178800;0.0;2025-10-31;2
6177184;0.0;2025-10-30;2
6177183;0.0;2025-10-29;2
6176261;0.0;2025-10-28;2
6176260;0.0;2025-10-27;2
6176259;0.0;2025-10-26;2
6176258;0.0;2025-10-25;2
6176257;0.0;2025-10-24;2
6176256;0.0;2025-10-23;2
6174146;0.0;2025-10-22;2
6174145;0.0;2025-10-21;2
6174144;0.0;2025-10-20;2
6174143;0.0;2025-10-19;2
6174142;0.0;2025-10-18;2
6171044;0.0;2025-10-17;2
6170603;0.0;2025-10-16;2
6170602;0.0;2025-10-15;2
6169481;0.0;2025-10-14;2
6169037;0.0;2025-10-13;2
6169036;0.0;2025-10-12;2
6169035;0.0;2025-10-11;2
6169034;0.0;2025-10-10;2
6169033;0.0;2025-10-09;2
6169032;0.0;2025-10-08;2
6165864;0.0;2025-10-07;2
6165863;0.0;2025-10-06;2
6165862;0.0;2025-10-05;2
6165861;0.0;2025-10-04;2
6164344;0.0;2025-10-03;2
6164343;0.0;2025-10-02;2
6163244;0.0;2025-10-01;2
6162633;0.0;2025-09-30;2
6161635;0.0;2025-09-29;2
6161634;0.0;2025-09-28;2
6161633;0.0;2025-09-27;2
6161632;0.0;2025-09-26;2
6160150;0.0;2025-09-25;2
6159571;0.0;2025-09-24;2
6159570;0.0;2025-09-23;2
6157183;0.0;2025-09-22;2
6157182;0.0;2025-09-21;2
6157181;0.0;2025-09-20;2
6156654;0.0;2025-09-19;2
6156042;0.0;2025-09-18;2
6155258;0.0;2025-09-17;2
6155257;0.0;2025-09-16;2
6153222;0.0;2025-09-15;2
6153221;0.0;2025-09-14;2
6153220;0.0;2025-09-13;2
6153219;0.0;2025-09-12;2
6151487;0.0;2025-09-11;2
6151486;0.0;2025-09-10;2
6150128;0.0;2025-09-09;2
6148546;0.0;2025-09-08;2
6148545;0.0;2025-09-07;2
6148544;0.0;2025-09-06;2
6147610;0.0;2025-09-05;2
6147609;0.0;2025-09-04;2
6147608;0.0;2025-09-03;2
6147607;0.0;2025-09-02;2
6145898;0.0;2025-09-01;2
6145901;0.0;2025-08-31;2
6145900;0.0;2025-08-30;2
6145899;0.0;2025-08-29;2
6145082;0.0;2025-08-28;2
6144226;0.0;2025-08-27;2
6143756;0.0;2025-08-26;2
6142717;0.0;2025-08-25;2
6142716;0.0;2025-08-24;2
6142715;0.0;2025-08-23;2
6141920;0.0;2025-08-22;2
6141919;0.0;2025-08-21;2
6141918;0.0;2025-08-20;2
6137436;0.0;2025-08-19;2
6136764;0.0;2025-08-18;2
6136763;0.0;2025-08-17;2
6136762;0.0;2025-08-16;2
6136761;0.0;2025-08-15;2
6134017;0.0;2025-08-14;2
6133603;3.0;2025-08-13;2
6133222;0.0;2025-08-12;2
6132902;0.0;2025-08-11;2
6132901;0.0;2025-08-10;2
6132900;0.0;2025-08-09;2
6132096;0.0;2025-08-08;2
6132095;0.0;2025-08-07;2
6131339;0.0;2025-08-06;2
6131338;0.0;2025-08-05;2
6129806;0.0;2025-08-04;2
6129805;0.0;2025-08-03;2
6129804;0.0;2025-08-02;2
6129803;0.0;2025-08-01;2
6128633;0.0;2025-07-31;2
6128632;0.0;2025-07-30;2
6128631;0.0;2025-07-29;2
6128630;0.0;2025-07-28;2
6128629;0.0;2025-07-27;2
6128628;0.0;2025-07-26;2
6128627;0.0;2025-07-25;2
6128626;0.0;2025-07-24;2
6128625;0.0;2025-07-23;2
6128624;0.0;2025-07-22;2
6128623;0.0;2025-07-21;2
6128622;0.0;2025-07-20;2
6128621;0.0;2025-07-19;2
6128620;0.0;2025-07-18;2
6128619;0.0;2025-07-17;2
6128618;0.0;2025-07-16;2
6121884;0.0;2025-07-15;2
6121883;0.0;2025-07-14;2
6121882;0.0;2025-07-13;2
6121881;0.0;2025-07-12;2
6121880;0.0;2025-07-11;2
6121879;0.0;2025-07-10;2
6119130;0.0;2025-07-09;2
6118456;5.6;2025-07-08;2
6118455;0.0;2025-07-07;2
6117279;0.0;2025-07-06;2
6117278;0.0;2025-07-05;2
6116313;0.0;2025-07-04;2
6115968;5.0;2025-07-03;2
6115319;15.0;2025-07-02;2
6114636;22.0;2025-07-01;2
6114148;0.0;2025-06-30;2
6112742;38.0;2025-06-29;2
6112741;0.0;2025-06-28;2
6112740;0.0;2025-06-27;2
6111325;5.2;2025-06-26;2
6111046;0.0;2025-06-25;2
6110544;0.0;2025-06-24;2
6109673;2.0;2025-06-23;2
6109672;0.0;2025-06-22;2
6108934;4.0;2025-06-21;2
6108933;3.8;2025-06-20;2
6108932;0.0;2025-06-19;2
6108931;0.0;2025-06-18;2
